matching_matches,
Name from provider 1,Name from provider 2
Black N Yellow - Arkosh Gaming,Black N Yellow - Arkosh
Simply Toobased - Hokori,Simply TOOBASED - Hokori
4 Zoomers - D2 Hustlers,4 Zoomers - D2 Hustlers
Copenhagen Flames - Ninjas In Pyjamas,Copenhagen Flames - Ninjas in Pyjamas
Virtus.pro - FaZe,Virtus.pro - FaZe
Los Angeles Kings - St. Louis,Los Angeles - St. Louis
Colorado - Columbus,Colorado - Columbus
Edmonton - Nashville,Edmonton - Nashville
Amurskie Tigry - MHC Loko,Amurskie Tigry U20 - Loko Yaroslav U20
Kometa Brno - Pilzno,Brno - Pilzno
Vitkovice - Mlada Boleslav,Vitkovice - Mlada Boleslav
Karlovy Vary - Zlin,Karlove Vary - Zlin
Ceske Budejovice - Pardubice,C. Budejovice - Pardubice
Utah Jazz - Sacramento,Utah - Sacramento
Ferreira Silva F. - Ionel N. D.,Ferreira Silva F. - Ionel N D
Gonzalez A / Guillen Meza A - King D / Krstin P,Gonzalez A / Guillen Meza A - King D / Krstin P
Barrientos/Gomez - Castro F / Larrea M M,Barrientos N / Gomez A - Castro F / Larrea M M
Munar J. - Tabilo A.,Munar J. - Tabilo A.
Gonzalez A. - Galarneau A.,Gonzalez A. - Galarneau A.
Huesler M. A. - Heyman Ch.,Huesler M.A. - Heyman Ch.
Alvarez Varona N. - Hidalgo D.,Alvarez Varona N. - Hidalgo D.
"Wolf, J.j. - Damm M.","Wolf, J.j. - Damm M."
Alvarez N. - Tirante T. A.,Alvarez N. - Tirante T A
Chappell N. - Wu T. L.,Chappell N. - Wu T L
Dutra Da Silva D. - Hardt N.,Dutra Da Silva D. - Hardt N.
Collarini A. - Seyboth Wild T.,Collarini A. - Seyboth Wild T.
Casanova H. - Bagnis F.,Casanova H. - Bagnis F.
Cressy M. - Haerteis J.,Cressy M. - Haerteis J.
Popko D. - Vukic A.,Popko D. - Vukic A.
Krueger M. - Kudla D.,Krueger M. - Kudla D.
Jung J. - Harrison C.,Jung J. - Harrison Ch.
Shevchenko A. - Halys Q.,Shevchenko A. - Halys Q.
Sousa J. - Orlov V.,Sousa J. - Orlov V.
Oliveira G. - Cid Subervi R.,Oliveira G. - Cid R.
Kopriva V. - Cerundolo F.,Kopriva V. - Cerundolo F.
Juarez F. - Diaz Acosta F.,Juarez F. - Diaz Acosta F.
Montes-De La Torre I. - Polansky P.,Montes-De La Torre I. - Polansky P.
Janvier M. - Albot R.,Janvier M. - Albot R.
Squire H. - Lenz J.,Squire H. - Lenz J.
Fatic N. - Safwat M.,Fatic N. - Safwat M.
Polmans M. - Bondarevskiy Y.,Polmans M. - Bondarevskiy Y.
Bemelmans R. - Simon T.,Bemelmans R. - Simon T.
Potenza L. - Horansky F.,Potenza L. - Horansky F.
Kotov P. - Ilkel C.,Kotov P. - Ilkel C.
Milan - Inter Milan,Milan - Inter
Napoli - Hellas Verona,Napoli - Verona
Lazio Rzym - Salernitana,Lazio - Salernitana
Udinese - Sassuolo,Udinese - Sassuolo
Sampdoria - Bologna,Sampdoria - Bologna
Venezia - AS Roma,Venezia - Roma
Aragua FC - Academia Puerto Cabello,Aragua - Puerto Cabello
Soroksár K - Ferencvárosi TC K,Soroksar - Ferencvaros
Juventud de Las Piedras - Defensor Sporting,Juventud Piedras - Defensor Sporting
CA Villa Teresa - Central Español,Villa Teresa - Central Espanol
Racing Club de Montevideo - Club Atlético Atenas,Racing Club - Atenas de San Carlos
Deportivo Maldonado - Villa Espanola,Dep. Maldonado - Villa Espanola
Tuzlaspor - Denizlispor,Tuzlaspor - Denizlispor
Istanbulspor AS - Menemen Belediyespor,Istanbulspor - Menemenspor
Fenerbahce - Kayserispor,Fenerbahce - Kayserispor
Fatih Karagumruk SK - Galatasaray,Karagumruk - Galatasaray
Adana Demirspor - Hatayspor,Adana Demirspor - Hatayspor
Goztepe SK - Konyaspor,Goztepe - Konyaspor
Azam - Geita Gold FC,Azam FC - Geita Gold
Young Africans - Ruvu Shooting,Young Africans - Ruvu Shooting
IK Brage - Akropolis IF,Brage - Akropolis
Östers IF - GAIS,Osters - GAIS
Norrby IF - GIF Sundsvall,Norrby - Sundsvall
Falkenbergs FF - AFC Eskilstuna,Falkenbergs - Eskilstuna
Kalmar FF - IFK Norrköping,Kalmar - Norrkoping
IFK Göteborg - Malmö FF,IFK Goteborg - Malmo
Hammarby IF - Örebro SK,Hammarby - Orebro
BK Häcken - Degerfors IF,Hacken - Degerfors
Neuchatel Xamax - FC Schaffhausen,Xamax - Schaffhausen
FC Winterthur - Stade Lausanne-Ouchy,Winterthur - Lausanne Ouchy
Thun - FC Vaduz,Thun - Vaduz
Lausanne - Lugano,Lausanne - Lugano
Basel - St. Gallen,Basel - St. Gallen
FC Servette - Zurich,Servette - FC Zurich
Rangers - Ross County,Rangers - Ross County
Dundee FC - Celtic,Dundee FC - Celtic
MFK Dolny Kubin - MSK Żylina,Dolny Kubin - Zilina
Besenova - FK Senica,Besenova - Senica
MFK Dubnica nad Vahom - Podbrezova,Dubnica - Podbrezova
MFK Tatran Liptovský Mikuláš - Spartak Trnava,Liptovsky Mikulas - Sp. Trnava
Once Deportivo - Luis Ángel Firpo,11 Deportivo - Luis Angel Firpo
Orlando Pirates FC - Sekhukhune Utd,Orlando Pirates - Sekhukhune Utd
Bloemfontein Celtic FC - Supersport,Bloemfontein - Supersport Utd
TS Galaxy - Baroka FC,TS Galaxy - Baroka
Kaizer Chiefs - Stellenbosch FC,Kaizer Chiefs - Stellenbosch
FC Novosibirsk - Dynamo Barnaul,FK Novosibirsk - Dyn. Barnaul
FC Rostow - FC Rubin Kazan,Rostov - Rubin Kazań
FC Ural Jekaterinburg - Zenit St. Petersburg,Ural - St. Petersburg
UD Vilafranquense - CF Estrela,Vilafranquense - Estrela
Benfica - Braga,Benfica - Braga
FC Pacos Ferreira - Sp. Lizbona,P. Ferreira - Sp. Lizbona
CD Santa Clara - FC Porto,Santa Clara - FC Porto
CD Tondela - CS Maritimo Madeira,Tondela - Maritimo
Lillestrøm SK - Vålerenga,Lillestrom - Valerenga
